vehicle.py   process_spline_msg 450   DEBUG Vehicle 73, spline check::Times: 0.0 to 1.28571428571. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 66, spline check::Times: 2.22222222222 to 3.50793650794. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 66, spline check::Times: 3.50793650794 to 8600.0. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 67, spline check::Times: 0.0 to 1.28571428571. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 67, spline check::Times: 1.28571428571 to 2.22222222222. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 67, spline check::Times: 2.22222222222 to 3.50793650794. Errors: Pos: -0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 67, spline check::Times: 3.50793650794 to 8600.0. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 65, spline check::Times: 0.0 to 1.28571428571. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 65, spline check::Times: 1.28571428571 to 2.22222222222. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 65, spline check::Times: 2.22222222222 to 3.50793650794. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 65, spline check::Times: 3.50793650794 to 8600.0. Errors: Pos: -0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 64, spline check::Times: 0.0 to 1.28571428571. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 64, spline check::Times: 1.28571428571 to 2.22222222222. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 64, spline check::Times: 2.22222222222 to 3.50793650794. Errors: Pos: -0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 64, spline check::Times: 3.50793650794 to 8600.0. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 63, spline check::Times: 0.0 to 1.28571428571. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 63, spline check::Times: 1.28571428571 to 2.22222222222. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 63, spline check::Times: 2.22222222222 to 3.50793650794. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 63, spline check::Times: 3.50793650794 to 8600.0. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 62, spline check::Times: 0.0 to 1.28571428571. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 62, spline check::Times: 1.28571428571 to 2.22222222222. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 62, spline check::Times: 2.22222222222 to 3.50793650794. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 62, spline check::Times: 3.50793650794 to 8600.0. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 61, spline check::Times: 0.0 to 1.28571428571. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 61, spline check::Times: 1.28571428571 to 2.22222222222. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 61, spline check::Times: 2.22222222222 to 3.50793650794. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 61, spline check::Times: 3.50793650794 to 8600.0. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 60, spline check::Times: 0.0 to 1.28571428571. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 60, spline check::Times: 1.28571428571 to 2.22222222222. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 60, spline check::Times: 2.22222222222 to 3.50793650794. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 60, spline check::Times: 3.50793650794 to 8600.0. Errors: Pos: -0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 59, spline check::Times: 0.0 to 1.28571428571. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 59, spline check::Times: 1.28571428571 to 2.22222222222. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 59, spline check::Times: 2.22222222222 to 3.50793650794. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 59, spline check::Times: 3.50793650794 to 8600.0. Errors: Pos: -0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 58, spline check::Times: 0.0 to 1.28571428571. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 58, spline check::Times: 1.28571428571 to 2.22222222222. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 58, spline check::Times: 2.22222222222 to 3.50793650794. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 58, spline check::Times: 3.50793650794 to 8600.0. Errors: Pos: -0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 57, spline check::Times: 0.0 to 1.28571428571. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 57, spline check::Times: 1.28571428571 to 2.22222222222. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 57, spline check::Times: 2.22222222222 to 3.50793650794. Errors: Pos: -0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 57, spline check::Times: 3.50793650794 to 8600.0. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 56, spline check::Times: 0.0 to 1.28571428571. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 56, spline check::Times: 1.28571428571 to 2.22222222222. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 56, spline check::Times: 2.22222222222 to 3.50793650794. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 56, spline check::Times: 3.50793650794 to 8600.0. Errors: Pos: -0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 28, spline check::Times: 0.0 to 1.28571428571. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 28, spline check::Times: 1.28571428571 to 2.22222222222. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 28, spline check::Times: 2.22222222222 to 3.50793650794. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 28, spline check::Times: 3.50793650794 to 8600.0. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 27, spline check::Times: 0.0 to 1.28571428571. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 27, spline check::Times: 1.28571428571 to 2.22222222222. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 27, spline check::Times: 2.22222222222 to 3.50793650794. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 27, spline check::Times: 3.50793650794 to 8600.0. Errors: Pos: -0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 26, spline check::Times: 0.0 to 1.28571428571. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 26, spline check::Times: 1.28571428571 to 2.22222222222. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 26, spline check::Times: 2.22222222222 to 3.50793650794. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 26, spline check::Times: 3.50793650794 to 8600.0. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 25, spline check::Times: 0.0 to 1.28571428571. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 25, spline check::Times: 1.28571428571 to 2.22222222222. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 25, spline check::Times: 2.22222222222 to 3.50793650794. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 25, spline check::Times: 3.50793650794 to 8600.0. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 24, spline check::Times: 0.0 to 1.28571428571. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 24, spline check::Times: 1.28571428571 to 2.22222222222. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 24, spline check::Times: 2.22222222222 to 3.50793650794. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 24, spline check::Times: 3.50793650794 to 8600.0. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 23, spline check::Times: 0.0 to 1.28571428571. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 23, spline check::Times: 1.28571428571 to 2.22222222222. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 23, spline check::Times: 2.22222222222 to 3.50793650794. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 23, spline check::Times: 3.50793650794 to 8600.0. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 22, spline check::Times: 0.0 to 1.28571428571. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 22, spline check::Times: 1.28571428571 to 2.22222222222. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 22, spline check::Times: 2.22222222222 to 3.50793650794. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 22, spline check::Times: 3.50793650794 to 8600.0. Errors: Pos: -0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 21, spline check::Times: 0.0 to 1.28571428571. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 21, spline check::Times: 1.28571428571 to 2.22222222222. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 21, spline check::Times: 2.22222222222 to 3.50793650794. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 21, spline check::Times: 3.50793650794 to 8600.0. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 36, spline check::Times: 0.0 to 1.28571428571. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 36, spline check::Times: 1.28571428571 to 2.22222222222. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 36, spline check::Times: 2.22222222222 to 3.50793650794. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 36, spline check::Times: 3.50793650794 to 8600.0. Errors: Pos: -0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 34, spline check::Times: 0.0 to 1.28571428571. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 34, spline check::Times: 1.28571428571 to 2.22222222222. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 34, spline check::Times: 2.22222222222 to 3.50793650794. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 34, spline check::Times: 3.50793650794 to 8600.0. Errors: Pos: -0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 33, spline check::Times: 0.0 to 1.28571428571. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 33, spline check::Times: 1.28571428571 to 2.22222222222. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 33, spline check::Times: 2.22222222222 to 3.50793650794. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 33, spline check::Times: 3.50793650794 to 8600.0. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 32, spline check::Times: 0.0 to 1.28571428571. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 32, spline check::Times: 1.28571428571 to 2.22222222222. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 32, spline check::Times: 2.22222222222 to 3.50793650794. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 32, spline check::Times: 3.50793650794 to 8600.0. Errors: Pos: -0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 38, spline check::Times: 0.0 to 1.28571428571. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 38, spline check::Times: 1.28571428571 to 2.22222222222. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 38, spline check::Times: 2.22222222222 to 3.50793650794. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 38, spline check::Times: 3.50793650794 to 8600.0. Errors: Pos: -0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 37, spline check::Times: 0.0 to 1.28571428571. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 37, spline check::Times: 1.28571428571 to 2.22222222222. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 37, spline check::Times: 2.22222222222 to 3.50793650794. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 37, spline check::Times: 3.50793650794 to 8600.0. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 2, spline check::Times: 0.0 to 1.28571428571. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 2, spline check::Times: 1.28571428571 to 2.22222222222. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 2, spline check::Times: 2.22222222222 to 3.50793650794. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 2, spline check::Times: 3.50793650794 to 8600.0. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 31, spline check::Times: 0.0 to 1.28571428571. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 31, spline check::Times: 1.28571428571 to 2.22222222222. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 31, spline check::Times: 2.22222222222 to 3.50793650794. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 31, spline check::Times: 3.50793650794 to 8600.0. Errors: Pos: -0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 30, spline check::Times: 0.0 to 1.28571428571. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 30, spline check::Times: 1.28571428571 to 2.22222222222. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 30, spline check::Times: 2.22222222222 to 3.50793650794. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 30, spline check::Times: 3.50793650794 to 8600.0. Errors: Pos: -0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 29, spline check::Times: 0.0 to 1.28571428571. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 29, spline check::Times: 1.28571428571 to 2.22222222222. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 29, spline check::Times: 2.22222222222 to 3.50793650794. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 29, spline check::Times: 3.50793650794 to 8600.0. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 20, spline check::Times: 0.0 to 1.28571428571. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 20, spline check::Times: 1.28571428571 to 2.22222222222. Errors: Pos: -0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 20, spline check::Times: 2.22222222222 to 3.50793650794. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 20, spline check::Times: 3.50793650794 to 8600.0. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 19, spline check::Times: 0.0 to 1.28571428571. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 19, spline check::Times: 1.28571428571 to 2.22222222222. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 19, spline check::Times: 2.22222222222 to 3.50793650794. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 19, spline check::Times: 3.50793650794 to 8600.0. Errors: Pos: -0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 18, spline check::Times: 0.0 to 1.28571428571. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 18, spline check::Times: 1.28571428571 to 2.22222222222. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 18, spline check::Times: 2.22222222222 to 3.50793650794. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 18, spline check::Times: 3.50793650794 to 8600.0. Errors: Pos: -0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 13, spline check::Times: 0.0 to 1.28571428571. Errors: Pos: 0.000000, Vel: 0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 13, spline check::Times: 1.28571428571 to 2.22222222222. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 13, spline check::Times: 2.22222222222 to 3.50793650794. Errors: Pos: 0.000000, Vel: -0.000000, Accel: 0.000000
vehicle.py   process_spline_msg 450   DEBUG Vehicle 13, spline check::Times: 3.50793650794 to 8600.0. Errors: Pos: -0.000000, Vel: 0.000000, Accel: 0.000000
