base_controller.py              connect line:172 walltime:396ms     INFO Connected to server: localhost:64444
prt_controller.py            heartbeat line:106 walltime:8199ms    DEBUG t:5.100 Station 24 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8199ms    DEBUG t:5.100 Station 25 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8199ms    DEBUG t:5.100 Station 26 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8199ms    DEBUG t:5.100 Station 27 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8199ms    DEBUG t:5.100 Station 28 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8199ms    DEBUG t:5.100 Station 31 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8199ms    DEBUG t:5.100 Station 32 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8199ms    DEBUG t:5.100 Station 33 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8200ms    DEBUG t:5.100 Station 35 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8200ms    DEBUG t:5.100 Station 36 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8200ms    DEBUG t:5.100 Station 37 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8200ms    DEBUG t:5.100 Station 38 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8200ms    DEBUG t:5.100 Station 39 heartbeat.
prt_controller.py       update_vehicle line:1446 walltime:8691ms  WARNING t:9.310 Vehicle 28 is following too close to vehicle 29. lv_dist: 16.420 desired separation: 20.000
prt_controller.py       update_vehicle line:1446 walltime:8715ms  WARNING t:9.510 Vehicle 28 is following too close to vehicle 29. lv_dist: 16.420 desired separation: 20.000
prt_controller.py            heartbeat line:106 walltime:8784ms    DEBUG t:10.200 Station 0 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8785ms    DEBUG t:10.200 Station 1 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8785ms    DEBUG t:10.200 Station 2 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8785ms    DEBUG t:10.200 Station 3 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8785ms    DEBUG t:10.200 Station 4 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8785ms    DEBUG t:10.200 Station 5 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8786ms    DEBUG t:10.200 Station 6 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8786ms    DEBUG t:10.200 Station 7 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8786ms    DEBUG t:10.200 Station 8 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8787ms    DEBUG t:10.200 Station 9 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8787ms    DEBUG t:10.200 Station 10 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8787ms    DEBUG t:10.200 Station 11 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8787ms    DEBUG t:10.200 Station 12 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8787ms    DEBUG t:10.200 Station 13 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8787ms    DEBUG t:10.200 Station 14 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8787ms    DEBUG t:10.200 Station 15 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8788ms    DEBUG t:10.200 Station 16 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8788ms    DEBUG t:10.200 Station 17 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8788ms    DEBUG t:10.200 Station 18 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8788ms    DEBUG t:10.200 Station 19 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8788ms    DEBUG t:10.200 Station 20 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8788ms    DEBUG t:10.200 Station 21 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8788ms    DEBUG t:10.200 Station 22 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8791ms    DEBUG t:10.200 Station 23 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8791ms    DEBUG t:10.200 Station 24 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8791ms    DEBUG t:10.200 Station 25 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8791ms    DEBUG t:10.200 Station 26 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8791ms    DEBUG t:10.200 Station 27 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8792ms    DEBUG t:10.200 Station 28 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8792ms    DEBUG t:10.200 Station 31 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8792ms    DEBUG t:10.200 Station 32 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8792ms    DEBUG t:10.200 Station 33 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8792ms    DEBUG t:10.200 Station 35 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8792ms    DEBUG t:10.200 Station 36 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8792ms    DEBUG t:10.200 Station 37 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8792ms    DEBUG t:10.200 Station 38 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8792ms    DEBUG t:10.200 Station 39 heartbeat.
prt_controller.py       update_vehicle line:1446 walltime:8877ms  WARNING t:10.413 Vehicle 28 is following too close to vehicle 29. lv_dist: 16.420 desired separation: 20.000
prt_controller.py       update_vehicle line:1446 walltime:8894ms  WARNING t:10.613 Vehicle 28 is following too close to vehicle 29. lv_dist: 16.420 desired separation: 20.000
prt_controller.py       update_vehicle line:1446 walltime:8972ms  WARNING t:11.122 Vehicle 14 is following too close to vehicle 13. lv_dist: 0.000 desired separation: 20.000
prt_controller.py       update_vehicle line:1446 walltime:8989ms  WARNING t:11.122 Vehicle 15 is following too close to vehicle 14. lv_dist: 0.000 desired separation: 20.000
prt_controller.py       update_vehicle line:1446 walltime:8990ms  WARNING t:11.122 Vehicle 16 is following too close to vehicle 15. lv_dist: 0.000 desired separation: 20.000
prt_controller.py       update_vehicle line:1446 walltime:8991ms  WARNING t:11.122 Vehicle 17 is following too close to vehicle 16. lv_dist: 0.000 desired separation: 20.000
prt_controller.py       update_vehicle line:1446 walltime:9027ms  WARNING t:11.322 Vehicle 14 is following too close to vehicle 13. lv_dist: -4.000 desired separation: 20.000
prt_controller.py       update_vehicle line:1446 walltime:9052ms  WARNING t:11.322 Vehicle 15 is following too close to vehicle 14. lv_dist: -4.000 desired separation: 20.000
prt_controller.py       update_vehicle line:1446 walltime:9053ms  WARNING t:11.322 Vehicle 16 is following too close to vehicle 15. lv_dist: -4.000 desired separation: 20.000
prt_controller.py       update_vehicle line:1446 walltime:9053ms  WARNING t:11.322 Vehicle 17 is following too close to vehicle 16. lv_dist: -4.000 desired separation: 20.000
prt_controller.py       update_vehicle line:1446 walltime:9253ms  WARNING t:13.549 Vehicle 66 is following too close to vehicle 69. lv_dist: 19.126 desired separation: 20.000
prt_controller.py       update_vehicle line:1446 walltime:9276ms  WARNING t:13.749 Vehicle 66 is following too close to vehicle 69. lv_dist: 19.126 desired separation: 20.000
prt_controller.py       update_vehicle line:1446 walltime:9290ms  WARNING t:13.898 Vehicle 34 is following too close to vehicle 36. lv_dist: 0.164 desired separation: 2.400
prt_controller.py       update_vehicle line:1446 walltime:9311ms  WARNING t:14.599 Vehicle 66 is following too close to vehicle 69. lv_dist: 19.126 desired separation: 20.000
prt_controller.py       update_vehicle line:1446 walltime:9318ms  WARNING t:14.799 Vehicle 66 is following too close to vehicle 69. lv_dist: 19.126 desired separation: 20.000
prt_controller.py            heartbeat line:106 walltime:9391ms    DEBUG t:15.300 Station 0 heartbeat.
prt_controller.py            heartbeat line:106 walltime:9391ms    DEBUG t:15.300 Station 1 heartbeat.
prt_controller.py            heartbeat line:106 walltime:9391ms    DEBUG t:15.300 Station 2 heartbeat.
prt_controller.py            heartbeat line:106 walltime:9391ms    DEBUG t:15.300 Station 3 heartbeat.
prt_controller.py            heartbeat line:106 walltime:9391ms    DEBUG t:15.300 Station 4 heartbeat.
prt_controller.py            heartbeat line:106 walltime:9391ms    DEBUG t:15.300 Station 5 heartbeat.
prt_controller.py            heartbeat line:106 walltime:9391ms    DEBUG t:15.300 Station 6 heartbeat.
prt_controller.py            heartbeat line:106 walltime:9391ms    DEBUG t:15.300 Station 7 heartbeat.
prt_controller.py            heartbeat line:106 walltime:9392ms    DEBUG t:15.300 Station 8 heartbeat.
prt_controller.py            heartbeat line:106 walltime:9392ms    DEBUG t:15.300 Station 9 heartbeat.
prt_controller.py            heartbeat line:106 walltime:9392ms    DEBUG t:15.300 Station 10 heartbeat.
prt_controller.py            heartbeat line:106 walltime:9392ms    DEBUG t:15.300 Station 11 heartbeat.
prt_controller.py            heartbeat line:106 walltime:9392ms    DEBUG t:15.300 Station 12 heartbeat.
prt_controller.py            heartbeat line:106 walltime:9392ms    DEBUG t:15.300 Station 13 heartbeat.
prt_controller.py            heartbeat line:106 walltime:9392ms    DEBUG t:15.300 Station 14 heartbeat.
prt_controller.py            heartbeat line:106 walltime:9393ms    DEBUG t:15.300 Station 15 heartbeat.
prt_controller.py            heartbeat line:106 walltime:9393ms    DEBUG t:15.300 Station 16 heartbeat.
prt_controller.py            heartbeat line:106 walltime:9393ms    DEBUG t:15.300 Station 17 heartbeat.
prt_controller.py            heartbeat line:106 walltime:9393ms    DEBUG t:15.300 Station 18 heartbeat.
prt_controller.py            heartbeat line:106 walltime:9393ms    DEBUG t:15.300 Station 19 heartbeat.
prt_controller.py            heartbeat line:106 walltime:9393ms    DEBUG t:15.300 Station 20 heartbeat.
prt_controller.py            heartbeat line:106 walltime:9393ms    DEBUG t:15.300 Station 21 heartbeat.
prt_controller.py            heartbeat line:106 walltime:9393ms    DEBUG t:15.300 Station 22 heartbeat.
prt_controller.py            heartbeat line:106 walltime:9393ms    DEBUG t:15.300 Station 23 heartbeat.
prt_controller.py            heartbeat line:106 walltime:9394ms    DEBUG t:15.300 Station 24 heartbeat.
prt_controller.py            heartbeat line:106 walltime:9394ms    DEBUG t:15.300 Station 25 heartbeat.
prt_controller.py            heartbeat line:106 walltime:9394ms    DEBUG t:15.300 Station 26 heartbeat.
prt_controller.py            heartbeat line:106 walltime:9394ms    DEBUG t:15.300 Station 27 heartbeat.
prt_controller.py            heartbeat line:106 walltime:9394ms    DEBUG t:15.300 Station 28 heartbeat.
prt_controller.py            heartbeat line:106 walltime:9394ms    DEBUG t:15.300 Station 31 heartbeat.
prt_controller.py            heartbeat line:106 walltime:9394ms    DEBUG t:15.300 Station 32 heartbeat.
prt_controller.py            heartbeat line:106 walltime:9394ms    DEBUG t:15.300 Station 33 heartbeat.
prt_controller.py            heartbeat line:106 walltime:9394ms    DEBUG t:15.300 Station 35 heartbeat.
prt_controller.py            heartbeat line:106 walltime:9395ms    DEBUG t:15.300 Station 36 heartbeat.
prt_controller.py            heartbeat line:106 walltime:9395ms    DEBUG t:15.300 Station 37 heartbeat.
prt_controller.py            heartbeat line:106 walltime:9395ms    DEBUG t:15.300 Station 38 heartbeat.
prt_controller.py            heartbeat line:106 walltime:9395ms    DEBUG t:15.300 Station 39 heartbeat.
prt_controller.py       update_vehicle line:1446 walltime:9401ms  WARNING t:15.300 Vehicle 34 is following too close to vehicle 36. lv_dist: 0.164 desired separation: 2.400
prt_controller.py       update_vehicle line:1446 walltime:9426ms  WARNING t:15.564 Vehicle 34 is following too close to vehicle 36. lv_dist: 0.164 desired separation: 2.400
prt_controller.py       update_vehicle line:1446 walltime:9593ms  WARNING t:16.531 Vehicle 66 is following too close to vehicle 69. lv_dist: 19.126 desired separation: 20.000
prt_controller.py       update_vehicle line:1446 walltime:9604ms  WARNING t:16.731 Vehicle 66 is following too close to vehicle 69. lv_dist: 19.126 desired separation: 20.000
prt_controller.py       update_vehicle line:1446 walltime:9627ms  WARNING t:17.151 Vehicle 14 is following too close to vehicle 13. lv_dist: 0.000 desired separation: 20.000
prt_controller.py       update_vehicle line:1446 walltime:9628ms  WARNING t:17.151 Vehicle 15 is following too close to vehicle 14. lv_dist: 0.000 desired separation: 20.000
prt_controller.py       update_vehicle line:1446 walltime:9651ms  WARNING t:17.151 Vehicle 16 is following too close to vehicle 15. lv_dist: 0.000 desired separation: 20.000
prt_controller.py       update_vehicle line:1446 walltime:9655ms  WARNING t:17.151 Vehicle 17 is following too close to vehicle 16. lv_dist: 0.000 desired separation: 20.000
prt_controller.py       update_vehicle line:1446 walltime:9698ms  WARNING t:17.351 Vehicle 14 is following too close to vehicle 13. lv_dist: -4.000 desired separation: 20.000
prt_controller.py       update_vehicle line:1446 walltime:9699ms  WARNING t:17.351 Vehicle 15 is following too close to vehicle 14. lv_dist: -4.000 desired separation: 20.000
prt_controller.py       update_vehicle line:1446 walltime:9699ms  WARNING t:17.351 Vehicle 16 is following too close to vehicle 15. lv_dist: -4.000 desired separation: 20.000
prt_controller.py       update_vehicle line:1446 walltime:9700ms  WARNING t:17.351 Vehicle 17 is following too close to vehicle 16. lv_dist: -4.000 desired separation: 20.000
prt_controller.py       update_vehicle line:1446 walltime:9889ms  WARNING t:18.820 Vehicle 28 is following too close to vehicle 29. lv_dist: 16.420 desired separation: 20.000
prt_controller.py on_SIM_NOTIFY_VEHICLE_SPEEDING line:572 walltime:9894ms  WARNING Speed limit violation: v_status {
  vID: 31
  nose_locID: 731
  nose_pos: 0.0
  tail_locID: 109
  tail_pos: 26.8840007782
  vel: 20.0
  accel: 0.0
}
time: 18.847418254
speed_limit: 15.0

prt_controller.py on_SIM_NOTIFY_VEHICLE_SPEEDING line:572 walltime:9913ms  WARNING Speed limit violation: v_status {
  vID: 73
  nose_locID: 578
  nose_pos: 1.13686837722e-13
  tail_locID: 131
  tail_pos: 12.0249996185
  vel: 20.0
  accel: 0.0
}
time: 18.959268254
speed_limit: 15.0

prt_controller.py       update_vehicle line:1446 walltime:9919ms  WARNING t:19.020 Vehicle 28 is following too close to vehicle 29. lv_dist: 16.420 desired separation: 20.000
prt_controller.py on_SIM_NOTIFY_VEHICLE_SPEEDING line:572 walltime:9982ms  WARNING Speed limit violation: v_status {
  vID: 31
  nose_locID: 731
  nose_pos: 4.0
  tail_locID: 731
  tail_pos: 0.0
  vel: 20.0
  accel: 0.0
}
time: 19.047418254
speed_limit: 15.0

prt_controller.py on_SIM_NOTIFY_VEHICLE_SPEEDING line:572 walltime:10000ms  WARNING Speed limit violation: v_status {
  vID: 73
  nose_locID: 578
  nose_pos: 4.0
  tail_locID: 578
  tail_pos: 1.13686837722e-13
  vel: 20.0
  accel: 0.0
}
time: 19.159268254
speed_limit: 15.0

prt_controller.py on_SIM_NOTIFY_VEHICLE_SPEEDING line:572 walltime:10043ms  WARNING Speed limit violation: v_status {
  vID: 31
  nose_locID: 732
  nose_pos: 2.67164068646e-12
  tail_locID: 731
  tail_pos: 2.35100007057
  vel: 20.0
  accel: 0.0
}
time: 19.164968254
speed_limit: 15.0

prt_controller.py on_SIM_NOTIFY_VEHICLE_SPEEDING line:572 walltime:10100ms  WARNING Speed limit violation: v_status {
  vID: 73
  nose_locID: 579
  nose_pos: 3.86535248253e-12
  tail_locID: 578
  tail_pos: 2.35100007057
  vel: 20.0
  accel: 0.0
}
time: 19.276818254
speed_limit: 15.0

prt_controller.py       update_vehicle line:1446 walltime:10128ms  WARNING t:19.765 Vehicle 66 is following too close to vehicle 69. lv_dist: 19.126 desired separation: 20.000
prt_controller.py       update_vehicle line:1446 walltime:10133ms  WARNING t:19.965 Vehicle 66 is following too close to vehicle 69. lv_dist: 19.126 desired separation: 20.000
prt_controller.py            heartbeat line:106 walltime:10159ms    DEBUG t:20.400 Station 0 heartbeat.
prt_controller.py            heartbeat line:106 walltime:10160ms    DEBUG t:20.400 Station 1 heartbeat.
prt_controller.py            heartbeat line:106 walltime:10160ms    DEBUG t:20.400 Station 2 heartbeat.
prt_controller.py            heartbeat line:106 walltime:10160ms    DEBUG t:20.400 Station 3 heartbeat.
prt_controller.py            heartbeat line:106 walltime:10160ms    DEBUG t:20.400 Station 4 heartbeat.
prt_controller.py            heartbeat line:106 walltime:10160ms    DEBUG t:20.400 Station 5 heartbeat.
prt_controller.py            heartbeat line:106 walltime:10160ms    DEBUG t:20.400 Station 6 heartbeat.
prt_controller.py            heartbeat line:106 walltime:10160ms    DEBUG t:20.400 Station 7 heartbeat.
prt_controller.py            heartbeat line:106 walltime:10160ms    DEBUG t:20.400 Station 8 heartbeat.
prt_controller.py            heartbeat line:106 walltime:10160ms    DEBUG t:20.400 Station 9 heartbeat.
prt_controller.py            heartbeat line:106 walltime:10161ms    DEBUG t:20.400 Station 10 heartbeat.
prt_controller.py            heartbeat line:106 walltime:10161ms    DEBUG t:20.400 Station 11 heartbeat.
prt_controller.py            heartbeat line:106 walltime:10161ms    DEBUG t:20.400 Station 12 heartbeat.
prt_controller.py            heartbeat line:106 walltime:10161ms    DEBUG t:20.400 Station 13 heartbeat.
prt_controller.py            heartbeat line:106 walltime:10161ms    DEBUG t:20.400 Station 14 heartbeat.
prt_controller.py            heartbeat line:106 walltime:10161ms    DEBUG t:20.400 Station 15 heartbeat.
prt_controller.py            heartbeat line:106 walltime:10161ms    DEBUG t:20.400 Station 16 heartbeat.
prt_controller.py            heartbeat line:106 walltime:10161ms    DEBUG t:20.400 Station 17 heartbeat.
prt_controller.py            heartbeat line:106 walltime:10162ms    DEBUG t:20.400 Station 18 heartbeat.
prt_controller.py            heartbeat line:106 walltime:10162ms    DEBUG t:20.400 Station 19 heartbeat.
prt_controller.py            heartbeat line:106 walltime:10162ms    DEBUG t:20.400 Station 20 heartbeat.
prt_controller.py            heartbeat line:106 walltime:10162ms    DEBUG t:20.400 Station 21 heartbeat.
prt_controller.py            heartbeat line:106 walltime:10162ms    DEBUG t:20.400 Station 22 heartbeat.
prt_controller.py            heartbeat line:106 walltime:10162ms    DEBUG t:20.400 Station 23 heartbeat.
prt_controller.py            heartbeat line:106 walltime:10162ms    DEBUG t:20.400 Station 24 heartbeat.
prt_controller.py            heartbeat line:106 walltime:10162ms    DEBUG t:20.400 Station 25 heartbeat.
prt_controller.py            heartbeat line:106 walltime:10162ms    DEBUG t:20.400 Station 26 heartbeat.
prt_controller.py            heartbeat line:106 walltime:10163ms    DEBUG t:20.400 Station 27 heartbeat.
prt_controller.py            heartbeat line:106 walltime:10163ms    DEBUG t:20.400 Station 28 heartbeat.
prt_controller.py            heartbeat line:106 walltime:10163ms    DEBUG t:20.400 Station 31 heartbeat.
prt_controller.py            heartbeat line:106 walltime:10163ms    DEBUG t:20.400 Station 32 heartbeat.
prt_controller.py            heartbeat line:106 walltime:10163ms    DEBUG t:20.400 Station 33 heartbeat.
prt_controller.py            heartbeat line:106 walltime:10163ms    DEBUG t:20.400 Station 35 heartbeat.
prt_controller.py            heartbeat line:106 walltime:10163ms    DEBUG t:20.400 Station 36 heartbeat.
prt_controller.py            heartbeat line:106 walltime:10163ms    DEBUG t:20.400 Station 37 heartbeat.
prt_controller.py            heartbeat line:106 walltime:10163ms    DEBUG t:20.400 Station 38 heartbeat.
prt_controller.py            heartbeat line:106 walltime:10164ms    DEBUG t:20.400 Station 39 heartbeat.
prt_controller.py       update_vehicle line:1446 walltime:10172ms  WARNING t:20.400 Vehicle 34 is following too close to vehicle 36. lv_dist: 0.164 desired separation: 2.400
prt_controller.py       update_vehicle line:1446 walltime:10204ms  WARNING t:21.102 Vehicle 28 is following too close to vehicle 29. lv_dist: 16.420 desired separation: 20.000
prt_controller.py       update_vehicle line:1446 walltime:10219ms  WARNING t:21.302 Vehicle 28 is following too close to vehicle 29. lv_dist: 16.420 desired separation: 20.000
prt_controller.py       update_vehicle line:1446 walltime:10228ms  WARNING t:21.400 Vehicle 34 is following too close to vehicle 36. lv_dist: 0.164 desired separation: 2.400
prt_controller.py       update_vehicle line:1446 walltime:10245ms  WARNING t:21.818 Vehicle 34 is following too close to vehicle 36. lv_dist: 0.164 desired separation: 2.400
prt_controller.py on_SIM_NOTIFY_VEHICLE_SPEEDING line:572 walltime:10259ms  WARNING Speed limit violation: v_status {
  vID: 8
  nose_locID: 514
  nose_pos: 1.13686837722e-13
  tail_locID: 103
  tail_pos: 398.37701416
  vel: 20.0
  accel: 0.0
  lvID: 11
  lv_distance: 122.490997314
}
time: 21.911218254
speed_limit: 15.0

prt_controller.py on_SIM_NOTIFY_VEHICLE_SPEEDING line:572 walltime:10273ms  WARNING Speed limit violation: v_status {
  vID: 8
  nose_locID: 514
  nose_pos: 4.0
  tail_locID: 514
  tail_pos: 0.0
  vel: 20.0
  accel: 0.0
  lvID: 11
  lv_distance: 122.490997314
}
time: 22.111218254
speed_limit: 15.0

prt_controller.py on_SIM_NOTIFY_VEHICLE_SPEEDING line:572 walltime:10281ms  WARNING Speed limit violation: v_status {
  vID: 8
  nose_locID: 515
  nose_pos: 1.02318153949e-12
  tail_locID: 514
  tail_pos: 2.35100007057
  vel: 20.0
  accel: 0.0
  lvID: 11
  lv_distance: 122.490997314
}
time: 22.228768254
speed_limit: 15.0

prt_controller.py       update_vehicle line:1446 walltime:10318ms  WARNING t:22.646 Vehicle 28 is following too close to vehicle 29. lv_dist: 16.420 desired separation: 20.000
prt_controller.py       update_vehicle line:1446 walltime:10377ms  WARNING t:22.846 Vehicle 28 is following too close to vehicle 29. lv_dist: 16.420 desired separation: 20.000
prt_controller.py       update_vehicle line:1446 walltime:10381ms  WARNING t:23.067 Vehicle 34 is following too close to vehicle 36. lv_dist: 0.164 desired separation: 2.400
prt_controller.py on_SIM_NOTIFY_VEHICLE_SPEEDING line:572 walltime:10387ms  WARNING Speed limit violation: v_status {
  vID: 7
  nose_locID: 514
  nose_pos: 1.13686837722e-13
  tail_locID: 103
  tail_pos: 398.37701416
  vel: 20.0
  accel: 0.0
  lvID: 8
  lv_distance: 23.6877231598
}
time: 23.367318254
speed_limit: 15.0

prt_controller.py       update_vehicle line:1446 walltime:10392ms  WARNING t:23.485 Vehicle 34 is following too close to vehicle 36. lv_dist: 0.164 desired separation: 2.400
prt_controller.py on_SIM_NOTIFY_VEHICLE_SPEEDING line:572 walltime:10415ms  WARNING Speed limit violation: v_status {
  vID: 7
  nose_locID: 514
  nose_pos: 4.0
  tail_locID: 514
  tail_pos: 0.0
  vel: 20.0
  accel: 0.0
  lvID: 8
  lv_distance: 22.7250938416
}
time: 23.567318254
speed_limit: 15.0

prt_controller.py on_SIM_NOTIFY_VEHICLE_SPEEDING line:572 walltime:10419ms  WARNING Speed limit violation: v_status {
  vID: 7
  nose_locID: 515
  nose_pos: -5.68434188608e-13
  tail_locID: 514
  tail_pos: 2.35100007057
  vel: 20.0
  accel: 0.0
  lvID: 8
  lv_distance: 21.9980888367
}
time: 23.684868254
speed_limit: 15.0

prt_controller.py       update_vehicle line:1446 walltime:10448ms  WARNING t:24.003 Vehicle 7 is following too close to vehicle 8. lv_dist: 19.422 desired separation: 19.779
prt_controller.py       update_vehicle line:1446 walltime:10465ms  WARNING t:24.208 Vehicle 7 is following too close to vehicle 8. lv_dist: 17.366 desired separation: 19.273
prt_controller.py            heartbeat line:106 walltime:10590ms    DEBUG t:25.500 Station 0 heartbeat.
prt_controller.py            heartbeat line:106 walltime:10590ms    DEBUG t:25.500 Station 1 heartbeat.
prt_controller.py            heartbeat line:106 walltime:10590ms    DEBUG t:25.500 Station 2 heartbeat.
prt_controller.py            heartbeat line:106 walltime:10590ms    DEBUG t:25.500 Station 3 heartbeat.
prt_controller.py            heartbeat line:106 walltime:10590ms    DEBUG t:25.500 Station 4 heartbeat.
prt_controller.py            heartbeat line:106 walltime:10590ms    DEBUG t:25.500 Station 5 heartbeat.
prt_controller.py            heartbeat line:106 walltime:10590ms    DEBUG t:25.500 Station 6 heartbeat.
prt_controller.py            heartbeat line:106 walltime:10591ms    DEBUG t:25.500 Station 7 heartbeat.
prt_controller.py            heartbeat line:106 walltime:10591ms    DEBUG t:25.500 Station 8 heartbeat.
prt_controller.py            heartbeat line:106 walltime:10591ms    DEBUG t:25.500 Station 9 heartbeat.
prt_controller.py            heartbeat line:106 walltime:10591ms    DEBUG t:25.500 Station 10 heartbeat.
prt_controller.py            heartbeat line:106 walltime:10591ms    DEBUG t:25.500 Station 11 heartbeat.
prt_controller.py            heartbeat line:106 walltime:10591ms    DEBUG t:25.500 Station 12 heartbeat.
prt_controller.py            heartbeat line:135 walltime:10597ms     INFO 25.500 Vehicle 39 deadheading from station 12. Going to station 15.
prt_controller.py            heartbeat line:106 walltime:10597ms    DEBUG t:25.500 Station 13 heartbeat.
prt_controller.py            heartbeat line:106 walltime:10597ms    DEBUG t:25.500 Station 14 heartbeat.
prt_controller.py            heartbeat line:106 walltime:10597ms    DEBUG t:25.500 Station 15 heartbeat.
